,time,open_price
0,2017-10-01 08:00:00,9e-06
1,2017-10-02 08:00:00,5.7e-06
2,2017-10-03 08:00:00,5.87e-06
3,2017-10-04 08:00:00,4.84e-06
4,2017-10-05 08:00:00,5.19e-06
5,2017-10-06 08:00:00,4.98e-06
6,2017-10-07 08:00:00,4.23e-06
7,2017-10-08 08:00:00,4.69e-06
8,2017-10-09 08:00:00,4.45e-06
9,2017-10-10 08:00:00,4.62e-06
10,2017-10-11 08:00:00,4.52e-06
11,2017-10-12 08:00:00,4.67e-06
12,2017-10-13 08:00:00,4.83e-06
13,2017-10-14 08:00:00,5.97e-06
14,2017-10-15 08:00:00,5.56e-06
15,2017-10-16 08:00:00,5.26e-06
16,2017-10-17 08:00:00,5.02e-06
17,2017-10-18 08:00:00,4.86e-06
18,2017-10-19 08:00:00,4.78e-06
19,2017-10-20 08:00:00,4.74e-06
20,2017-10-21 08:00:00,5.09e-06
21,2017-10-22 08:00:00,4.75e-06
22,2017-10-23 08:00:00,4.63e-06
23,2017-10-24 08:00:00,4.37e-06
24,2017-10-25 08:00:00,4.9e-06
25,2017-10-26 08:00:00,4.78e-06
26,2017-10-27 08:00:00,4.61e-06
27,2017-10-28 08:00:00,4.59e-06
28,2017-10-29 08:00:00,4.52e-06
29,2017-10-30 08:00:00,4.61e-06
30,2017-10-31 08:00:00,4.65e-06
31,2017-11-01 08:00:00,4.74e-06
32,2017-11-02 08:00:00,3.42e-06
33,2017-11-03 08:00:00,3.03e-06
34,2017-11-04 08:00:00,3.16e-06
35,2017-11-05 08:00:00,2.99e-06
36,2017-11-06 08:00:00,2.8e-06
37,2017-11-07 08:00:00,3.14e-06
38,2017-11-08 08:00:00,3.08e-06
39,2017-11-09 08:00:00,3.36e-06
40,2017-11-10 08:00:00,4.51e-06
41,2017-11-11 08:00:00,4.09e-06
42,2017-11-12 08:00:00,4.31e-06
43,2017-11-13 08:00:00,4.12e-06
44,2017-11-14 08:00:00,3.96e-06
45,2017-11-15 08:00:00,3.97e-06
46,2017-11-16 08:00:00,3.64e-06
47,2017-11-17 08:00:00,3.48e-06
48,2017-11-18 08:00:00,3.34e-06
49,2017-11-19 08:00:00,3.38e-06
50,2017-11-20 08:00:00,3.49e-06
51,2017-11-21 08:00:00,3.59e-06
52,2017-11-22 08:00:00,3.49e-06
53,2017-11-23 08:00:00,3.47e-06
54,2017-11-24 08:00:00,3.41e-06
55,2017-11-25 08:00:00,3.44e-06
56,2017-11-26 08:00:00,3.49e-06
57,2017-11-27 08:00:00,3.94e-06
58,2017-11-28 08:00:00,5.14e-06
59,2017-11-29 08:00:00,1.224e-05
60,2017-11-30 08:00:00,9.2e-06
61,2017-12-01 08:00:00,1.195e-05
62,2017-12-02 08:00:00,1.214e-05
63,2017-12-03 08:00:00,1.208e-05
64,2017-12-04 08:00:00,1.173e-05
65,2017-12-05 08:00:00,1.16e-05
66,2017-12-06 08:00:00,1.073e-05
67,2017-12-07 08:00:00,8.51e-06
68,2017-12-08 08:00:00,6.11e-06
69,2017-12-09 08:00:00,7.09e-06
70,2017-12-10 08:00:00,7.94e-06
71,2017-12-11 08:00:00,7.2e-06
72,2017-12-12 08:00:00,7.13e-06
73,2017-12-13 08:00:00,7.81e-06
74,2017-12-14 08:00:00,8.14e-06
75,2017-12-15 08:00:00,1.393e-05
76,2017-12-16 08:00:00,1.204e-05
77,2017-12-17 08:00:00,2.062e-05
78,2017-12-18 08:00:00,2.52e-05
79,2017-12-19 08:00:00,2.793e-05
80,2017-12-20 08:00:00,2.973e-05
81,2017-12-21 08:00:00,2.95e-05
82,2017-12-22 08:00:00,3.045e-05
83,2017-12-23 08:00:00,2.95e-05
84,2017-12-24 08:00:00,2.835e-05
85,2017-12-25 08:00:00,2.766e-05
86,2017-12-26 08:00:00,2.964e-05
87,2017-12-27 08:00:00,2.692e-05
88,2017-12-28 08:00:00,2.651e-05
89,2017-12-29 08:00:00,2.83e-05
90,2017-12-30 08:00:00,3.598e-05
91,2017-12-31 08:00:00,4.785e-05
92,2018-01-01 08:00:00,5.1e-05
93,2018-01-02 08:00:00,5.257e-05
94,2018-01-03 08:00:00,5.185e-05
95,2018-01-04 08:00:00,7.364e-05
96,2018-01-05 08:00:00,7.553e-05
97,2018-01-06 08:00:00,5.969e-05
98,2018-01-07 08:00:00,6.022e-05
99,2018-01-08 08:00:00,6.25e-05
100,2018-01-09 08:00:00,6.002e-05
101,2018-01-10 08:00:00,5.575e-05
102,2018-01-11 08:00:00,5.249e-05
103,2018-01-12 08:00:00,5.15e-05
104,2018-01-13 08:00:00,6.5e-05
105,2018-01-14 08:00:00,6.201e-05
106,2018-01-15 08:00:00,5.82e-05
107,2018-01-16 08:00:00,5.705e-05
108,2018-01-17 08:00:00,5.507e-05
109,2018-01-18 08:00:00,5.721e-05
110,2018-01-19 08:00:00,5.819e-05
111,2018-01-20 08:00:00,5.662e-05
112,2018-01-21 08:00:00,5.542e-05
113,2018-01-22 08:00:00,5.323e-05
114,2018-01-23 08:00:00,5.208e-05
115,2018-01-24 08:00:00,5.19e-05
116,2018-01-25 08:00:00,5.523e-05
117,2018-01-26 08:00:00,5.705e-05
118,2018-01-27 08:00:00,5.618e-05
119,2018-01-28 08:00:00,5.423e-05
120,2018-01-29 08:00:00,5.423e-05
121,2018-01-30 08:00:00,5.288e-05
122,2018-01-31 08:00:00,5.035e-05
123,2018-02-01 08:00:00,4.927e-05
124,2018-02-02 08:00:00,4.512e-05
125,2018-02-03 08:00:00,4.532e-05
126,2018-02-04 08:00:00,4.993e-05
127,2018-02-05 08:00:00,4.678e-05
128,2018-02-06 08:00:00,4.57e-05
129,2018-02-07 08:00:00,4.678e-05
130,2018-02-08 08:00:00,4.4e-05
131,2018-02-09 08:00:00,4.159e-05
132,2018-02-10 08:00:00,4.322e-05
133,2018-02-11 08:00:00,4.475e-05
134,2018-02-12 08:00:00,4.325e-05
135,2018-02-13 08:00:00,4.152e-05
136,2018-02-14 08:00:00,4.147e-05
137,2018-02-15 08:00:00,4.12e-05
138,2018-02-16 08:00:00,3.853e-05
139,2018-02-17 08:00:00,3.839e-05
140,2018-02-18 08:00:00,3.697e-05
141,2018-02-19 08:00:00,3.5e-05
142,2018-02-20 08:00:00,3.367e-05
143,2018-02-21 08:00:00,3.091e-05
144,2018-02-22 08:00:00,3.15e-05
145,2018-02-23 08:00:00,3.165e-05
146,2018-02-24 08:00:00,3.15e-05
147,2018-02-25 08:00:00,3.096e-05
148,2018-02-26 08:00:00,3.408e-05
149,2018-02-27 08:00:00,3.151e-05
150,2018-02-28 08:00:00,3.085e-05
151,2018-03-01 08:00:00,2.928e-05
152,2018-03-02 08:00:00,2.731e-05
153,2018-03-03 08:00:00,2.604e-05
154,2018-03-04 08:00:00,2.549e-05
155,2018-03-05 08:00:00,2.588e-05
156,2018-03-06 08:00:00,2.547e-05
157,2018-03-07 08:00:00,2.587e-05
158,2018-03-08 08:00:00,2.425e-05
159,2018-03-09 08:00:00,2.288e-05
160,2018-03-10 08:00:00,2.315e-05
161,2018-03-11 08:00:00,2.295e-05
162,2018-03-12 08:00:00,2.29e-05
163,2018-03-13 08:00:00,2.374e-05
164,2018-03-14 08:00:00,2.377e-05
165,2018-03-15 08:00:00,2.356e-05
166,2018-03-16 08:00:00,2.193e-05
167,2018-03-17 08:00:00,2.116e-05
168,2018-03-18 08:00:00,1.93e-05
169,2018-03-19 08:00:00,1.875e-05
170,2018-03-20 08:00:00,2.22e-05
171,2018-03-21 08:00:00,2.247e-05
172,2018-03-22 08:00:00,2.338e-05
173,2018-03-23 08:00:00,2.279e-05
174,2018-03-24 08:00:00,2.101e-05
175,2018-03-25 08:00:00,2.167e-05
176,2018-03-26 08:00:00,2.152e-05
