,time,open_price
0,2018-08-21 08:00:00,0.318
1,2018-08-22 08:00:00,0.341
2,2018-08-23 08:00:00,0.323
3,2018-08-24 08:00:00,0.322
4,2018-08-25 08:00:00,0.326
5,2018-08-26 08:00:00,0.32
6,2018-08-27 08:00:00,0.322
7,2018-08-28 08:00:00,0.338
8,2018-08-29 08:00:00,0.35
9,2018-08-30 08:00:00,0.345
10,2018-08-31 08:00:00,0.333
11,2018-09-01 08:00:00,0.335
12,2018-09-02 08:00:00,0.345
13,2018-09-03 08:00:00,0.344
14,2018-09-04 08:00:00,0.336
15,2018-09-05 08:00:00,0.332
16,2018-09-06 08:00:00,0.28
17,2018-09-07 08:00:00,0.302
18,2018-09-08 08:00:00,0.292
19,2018-09-09 08:00:00,0.27
20,2018-09-10 08:00:00,0.275
21,2018-09-11 08:00:00,0.271
22,2018-09-12 08:00:00,0.262
23,2018-09-13 08:00:00,0.275
24,2018-09-14 08:00:00,0.277
25,2018-09-15 08:00:00,0.275
26,2018-09-16 08:00:00,0.279
27,2018-09-17 08:00:00,0.283
28,2018-09-18 08:00:00,0.269
29,2018-09-19 08:00:00,0.318
30,2018-09-20 08:00:00,0.326
31,2018-09-21 08:00:00,0.451
32,2018-09-22 08:00:00,0.564
33,2018-09-23 08:00:00,0.569
34,2018-09-24 08:00:00,0.571
35,2018-09-25 08:00:00,0.484
36,2018-09-26 08:00:00,0.523
37,2018-09-27 08:00:00,0.517
38,2018-09-28 08:00:00,0.541
39,2018-09-29 08:00:00,0.538
40,2018-09-30 08:00:00,0.566
41,2018-10-01 08:00:00,0.588
42,2018-10-02 08:00:00,0.578
43,2018-10-03 08:00:00,0.515
44,2018-10-04 08:00:00,0.526
45,2018-10-05 08:00:00,0.529
46,2018-10-06 08:00:00,0.518
47,2018-10-07 08:00:00,0.489
48,2018-10-08 08:00:00,0.48
49,2018-10-09 08:00:00,0.49
50,2018-10-10 08:00:00,0.479
51,2018-10-11 08:00:00,0.454
52,2018-10-12 08:00:00,0.373
53,2018-10-13 08:00:00,0.414
54,2018-10-14 08:00:00,0.412
55,2018-10-15 08:00:00,0.395
56,2018-10-16 08:00:00,0.44
57,2018-10-17 08:00:00,0.464
58,2018-10-18 08:00:00,0.465
59,2018-10-19 08:00:00,0.451
60,2018-10-20 08:00:00,0.449
61,2018-10-21 08:00:00,0.457
62,2018-10-22 08:00:00,0.45
63,2018-10-23 08:00:00,0.451
64,2018-10-24 08:00:00,0.462
65,2018-10-25 08:00:00,0.452
66,2018-10-26 08:00:00,0.455
67,2018-10-27 08:00:00,0.458
68,2018-10-28 08:00:00,0.453
69,2018-10-29 08:00:00,0.458
70,2018-10-30 08:00:00,0.439
71,2018-10-31 08:00:00,0.444
72,2018-11-01 08:00:00,0.448
73,2018-11-02 08:00:00,0.458
74,2018-11-03 08:00:00,0.457
75,2018-11-04 08:00:00,0.453
76,2018-11-05 08:00:00,0.467
77,2018-11-06 08:00:00,0.495
78,2018-11-07 08:00:00,0.55
79,2018-11-08 08:00:00,0.535
80,2018-11-09 08:00:00,0.496
81,2018-11-10 08:00:00,0.498
82,2018-11-11 08:00:00,0.504
83,2018-11-12 08:00:00,0.503
84,2018-11-13 08:00:00,0.512
85,2018-11-14 08:00:00,0.499
86,2018-11-15 08:00:00,0.459
87,2018-11-16 08:00:00,0.474
88,2018-11-17 08:00:00,0.465
89,2018-11-18 08:00:00,0.488
90,2018-11-19 08:00:00,0.504
91,2018-11-20 08:00:00,0.467
92,2018-11-21 08:00:00,0.419
93,2018-11-22 08:00:00,0.443
94,2018-11-23 08:00:00,0.416
95,2018-11-24 08:00:00,0.397
96,2018-11-25 08:00:00,0.366
97,2018-11-26 08:00:00,0.369
98,2018-11-27 08:00:00,0.351
