,time,open_price
0,2018-09-17 08:00:00,0.019
1,2018-09-18 08:00:00,0.018
2,2018-09-19 08:00:00,0.02
3,2018-09-20 08:00:00,0.02
4,2018-09-21 08:00:00,0.021
5,2018-09-22 08:00:00,0.026
6,2018-09-23 08:00:00,0.024
7,2018-09-24 08:00:00,0.024
8,2018-09-25 08:00:00,0.021
9,2018-09-26 08:00:00,0.022
10,2018-09-27 08:00:00,0.021
11,2018-09-28 08:00:00,0.023
12,2018-09-29 08:00:00,0.022
13,2018-09-30 08:00:00,0.022
14,2018-10-01 08:00:00,0.022
15,2018-10-02 08:00:00,0.022
16,2018-10-03 08:00:00,0.022
17,2018-10-04 08:00:00,0.021
18,2018-10-05 08:00:00,0.023
19,2018-10-06 08:00:00,0.024
20,2018-10-07 08:00:00,0.023
21,2018-10-08 08:00:00,0.028
22,2018-10-09 08:00:00,0.027
23,2018-10-10 08:00:00,0.025
24,2018-10-11 08:00:00,0.025
25,2018-10-12 08:00:00,0.021
26,2018-10-13 08:00:00,0.022
27,2018-10-14 08:00:00,0.024
28,2018-10-15 08:00:00,0.022
29,2018-10-16 08:00:00,0.025
30,2018-10-17 08:00:00,0.024
31,2018-10-18 08:00:00,0.024
32,2018-10-19 08:00:00,0.024
33,2018-10-20 08:00:00,0.024
34,2018-10-21 08:00:00,0.024
35,2018-10-22 08:00:00,0.024
36,2018-10-23 08:00:00,0.024
37,2018-10-24 08:00:00,0.024
38,2018-10-25 08:00:00,0.023
39,2018-10-26 08:00:00,0.023
40,2018-10-27 08:00:00,0.024
41,2018-10-28 08:00:00,0.023
42,2018-10-29 08:00:00,0.024
43,2018-10-30 08:00:00,0.022
44,2018-10-31 08:00:00,0.021
45,2018-11-01 08:00:00,0.023
46,2018-11-02 08:00:00,0.023
47,2018-11-03 08:00:00,0.022
48,2018-11-04 08:00:00,0.023
49,2018-11-05 08:00:00,0.023
50,2018-11-06 08:00:00,0.024
51,2018-11-07 08:00:00,0.024
52,2018-11-08 08:00:00,0.024
53,2018-11-09 08:00:00,0.023
54,2018-11-10 08:00:00,0.023
55,2018-11-11 08:00:00,0.022
56,2018-11-12 08:00:00,0.023
57,2018-11-13 08:00:00,0.023
58,2018-11-14 08:00:00,0.021
59,2018-11-15 08:00:00,0.019
60,2018-11-16 08:00:00,0.019
61,2018-11-17 08:00:00,0.018
62,2018-11-18 08:00:00,0.019
63,2018-11-19 08:00:00,0.018
64,2018-11-20 08:00:00,0.015
65,2018-11-21 08:00:00,0.013
66,2018-11-22 08:00:00,0.015
67,2018-11-23 08:00:00,0.013
68,2018-11-24 08:00:00,0.014
69,2018-11-25 08:00:00,0.013
70,2018-11-26 08:00:00,0.013
71,2018-11-27 08:00:00,0.011
